"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","cheetah",43,"right","incorrect","12.4449501448816","0.476793000853006","0.294928313290491","-0.435185124750519"
"1","turtle",12,"right","correct","12.4449501448816","0.476793000853006","-0.280234539145138","-0.226893156985117"
"1","cheetah",6,"left","correct","12.4449501448816","0.476793000853006","0.214004514617003","1.05868249437728"
"1","cheetah",14,"right","incorrect","12.4449501448816","0.476793000853006","0.227259145244145","-0.674406551440766"
"1","cheetah",4,"left","correct","12.4449501448816","0.476793000853006","0.207847811917127","1.54518942621999"
"1","cheetah",14,"right","incorrect","12.4449501448816","0.476793000853006","0.182213118126958","-0.622140060277083"
"1","turtle",4,"left","incorrect","12.4449501448816","0.476793000853006","-0.0885936368795683","1.87879676020407"
"1","turtle",24,"right","correct","12.4449501448816","0.476793000853006","-0.12675442012836","-0.123341148531335"
"1","cheetah",8,"right","incorrect","12.4449501448816","0.476793000853006","0.0829828152472396","-0.910718222920936"
"1","cheetah",15,"right","correct","12.4449501448816","0.476793000853006","-0.190269896100969","-0.215115810217491"
"1","turtle",5,"left","correct","12.4449501448816","0.476793000853006","0.191046849037557","1.33537198096014"
"1","turtle",5,"right","correct","12.4449501448816","0.476793000853006","-0.31809346970956","-0.976521281117754"
"1","turtle",6,"right","correct","12.4449501448816","0.476793000853006","-0.107929116062033","-1.03138866048741"
"1","cheetah",14,"right","correct","12.4449501448816","0.476793000853006","-0.249201790848","-0.184183011518402"
"1","turtle",6,"left","correct","12.4449501448816","0.476793000853006","0.211889943466679","1.04517719137925"
"1","cheetah",16,"right","incorrect","12.4449501448816","0.476793000853006","0.307489680263965","-0.680680935413399"
"1","cheetah",5,"right","incorrect","12.4449501448816","0.476793000853006","0.120281945515177","-1.55497528268242"
"1","turtle",6,"right","correct","12.4449501448816","0.476793000853006","-0.28902797149623","-0.804887441951272"
"1","cheetah",8,"right","correct","12.4449501448816","0.476793000853006","-0.297057068552862","-0.450212541229333"
"1","turtle",3,"right","correct","12.4449501448816","0.476793000853006","-0.218748784829334","-2.04082667304405"
"1","turtle",24,"left","correct","12.4449501448816","0.476793000853006","0.183156100091283","0.0926240852661894"
"1","cheetah",6,"left","incorrect","12.4449501448816","0.476793000853006","-0.28349422295253","1.48354878557056"
"1","cheetah",13,"right","correct","12.4449501448816","0.476793000853006","-0.258151403842427","-0.201784641944703"
"1","turtle",4,"left","correct","12.4449501448816","0.476793000853006","0.0187513528078613","1.64533668223138"
"1","turtle",139,"right","incorrect","12.4449501448816","0.476793000853006","0.24746700408018","-0.290396546808838"
"1","turtle",4,"left","incorrect","12.4449501448816","0.476793000853006","-0.207959390354955","1.91549788032289"
"1","turtle",5,"left","correct","12.4449501448816","0.476793000853006","0.193129416335592","1.13093520736139"
"1","turtle",3,"left","correct","12.4449501448816","0.476793000853006","-0.0189767667669028","2.25580282219833"
"1","cheetah",16,"left","correct","12.4449501448816","0.476793000853006","-0.107921139678564","0.539653411985178"
"1","cheetah",15,"left","correct","12.4449501448816","0.476793000853006","0.0950765050217804","0.352118530553685"
"1","turtle",5,"right","incorrect","12.4449501448816","0.476793000853006","0.409224027575662","-1.77339566960784"
"1","cheetah",10,"right","incorrect","12.4449501448816","0.476793000853006","0.311951234344104","-0.967112730462894"
