"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","cheetah",7,"right","correct","9.15935741054827","0.444386249679792","-0.22396273796437","-0.454335625191494"
"1","turtle",7,"right","correct","20.5610158986003","0.444386249679792","-0.142685989078542","-1.2393141128597"
"1","turtle",19,"left","correct","20.2887700961308","0.444386249679792","0.213183195993288","0.400289925535467"
"1","turtle",9,"left","correct","19.2846078548967","0.444386249679792","0.342635724795994","0.967015516821293"
"1","turtle",19,"left","incorrect","20.7374958289567","0.444386249679792","-0.251708181605791","0.889587810299371"
"1","cheetah",11,"left","correct","11.2852394696626","0.444386249679792","0.280671354526132","0.291118837139557"
"1","turtle",73,"left","incorrect","19.4494783770528","0.444386249679792","-0.132518670123962","0.282013272584406"
"1","cheetah",12,"right","correct","10.3197943210774","0.444386249679792","-0.376536134209466","-0.00692491677919613"
"1","turtle",41,"right","incorrect","19.1150729412918","0.444386249679792","0.327331868135399","-0.53926193191253"
"1","turtle",22,"left","correct","20.2969046881311","0.444386249679792","0.254432296536985","0.274622682673026"
"1","turtle",9,"right","incorrect","20.6485094684977","0.444386249679792","0.208760579942995","-1.31703764488099"
"1","cheetah",5,"right","correct","10.0158953421691","0.444386249679792","-0.249913036991227","-0.725275801054651"
"1","cheetah",5,"left","incorrect","11.8046619509519","0.444386249679792","-0.209503502801496","1.73285678333997"
"1","cheetah",5,"right","incorrect","10.0272185621628","0.444386249679792","0.143246846159296","-1.24971699471141"
"1","cheetah",7,"left","incorrect","11.9323849178661","0.444386249679792","-0.25038096472036","1.34104696516353"
"1","cheetah",7,"left","correct","10.0508828447181","0.444386249679792","0.215577274950779","0.596062105328461"
"1","turtle",8,"left","correct","20.291842972246","0.444386249679792","0.29050633769442","1.25399812457198"
"1","cheetah",4,"right","correct","10.7798864277718","0.444386249679792","-0.230287353932551","-1.14571746350394"
"1","turtle",9,"right","correct","20.5217486318562","0.444386249679792","-0.255041873140285","-0.794302795067262"
"1","turtle",140,"left","incorrect","22.7676058072722","0.444386249679792","-0.104751668146373","0.195189368855015"
